Date,Ticker,Price,Direction,Action,Shares,Cash Before Trade,Cash After Trade
2026-01-02,AAPL,270.76,NO_TREND,HOLD,0,500000.0,500000.0
2026-01-02,AMZN,226.5,NO_TREND,HOLD,0,500000.0,500000.0
2026-01-02,GOOG,315.1,NO_TREND,HOLD,0,500000.0,500000.0
2026-01-02,NFLX,90.99,TREND_DOWN,HOLD,0,500000.0,500000.0
2026-01-02,META,649.85,NO_TREND,HOLD,0,500000.0,500000.0
2026-01-05,AAPL,267.01,NO_TREND,BUY,20,500000.0,494790.88
2026-01-05,AMZN,233.06,NO_TREND,HOLD,0,494790.88,494790.88
2026-01-05,GOOG,317.1,NO_TREND,BUY,15,494790.88,490034.38
2026-01-05,NFLX,91.46,TREND_DOWN,HOLD,0,490034.38,490034.38
2026-01-05,META,658.23,NO_TREND,BUY,3,490034.38,488059.69
2026-01-06,AAPL,262.11,NO_TREND,BUY,4,488059.69,487011.25
2026-01-06,AMZN,240.93,NO_TREND,HOLD,0,487011.25,487011.25
2026-01-06,GOOG,314.33,NO_TREND,BUY,9,487011.25,484182.28
2026-01-06,NFLX,90.65,TREND_DOWN,HOLD,0,484182.28,484182.28
2026-01-06,META,660.05,NO_TREND,BUY,18,484182.28,472301.38
2026-01-07,AAPL,260.09,NO_TREND,SELL,12,472301.38,475422.46
2026-01-07,AMZN,241.56,NO_TREND,HOLD,0,475422.46,475422.46
2026-01-07,GOOG,322.2,NO_TREND,HOLD,0,475422.46,475422.46
2026-01-07,NFLX,90.73,TREND_DOWN,HOLD,0,475422.46,475422.46
2026-01-07,META,648.14,NO_TREND,HOLD,0,475422.46,475422.46
2026-01-08,AAPL,258.8,TREND_DOWN,SELL,2,475422.46,475940.06
2026-01-08,AMZN,246.29,NO_TREND,HOLD,0,475940.06,475940.06
2026-01-08,GOOG,325.78,NO_TREND,HOLD,0,475940.06,475940.06
2026-01-08,NFLX,90.53,TREND_DOWN,BUY,20,475940.06,474129.46
2026-01-08,META,645.51,NO_TREND,SELL,6,474129.46,478002.52
2026-01-09,AAPL,259.13,TREND_DOWN,HOLD,0,478002.52,478002.52
2026-01-09,AMZN,247.38,NO_TREND,HOLD,0,478002.52,478002.52
2026-01-09,GOOG,328.91,NO_TREND,SELL,17,478002.52,483593.99
2026-01-09,NFLX,89.46,TREND_DOWN,BUY,18,483593.99,481983.71
2026-01-09,META,652.5,NO_TREND,SELL,1,481983.71,482636.21
2026-01-12,AAPL,260.01,TREND_DOWN,HOLD,0,482636.21,482636.21
2026-01-12,AMZN,246.47,NO_TREND,HOLD,0,482636.21,482636.21
2026-01-12,GOOG,332.5,NO_TREND,HOLD,0,482636.21,482636.21
2026-01-12,NFLX,89.41,TREND_DOWN,SELL,15,482636.21,483977.36
2026-01-12,META,641.42,NO_TREND,HOLD,0,483977.36,483977.36
2026-01-13,AAPL,260.81,TREND_DOWN,HOLD,0,483977.36,483977.36
2026-01-13,AMZN,242.6,NO_TREND,HOLD,0,483977.36,483977.36
2026-01-13,GOOG,336.19,NO_TREND,BUY,10,483977.36,480615.46
2026-01-13,NFLX,90.32,TREND_DOWN,SELL,18,480615.46,482241.22
2026-01-13,META,630.55,NO_TREND,HOLD,0,482241.22,482241.22
2026-01-14,AAPL,259.72,TREND_DOWN,BUY,3,482241.22,481462.06
2026-01-14,AMZN,236.65,NO_TREND,HOLD,0,481462.06,481462.06
2026-01-14,GOOG,336.07,NO_TREND,HOLD,0,481462.06,481462.06
2026-01-14,NFLX,88.55,NO_TREND,HOLD,0,481462.06,481462.06
2026-01-14,META,614.99,NO_TREND,SELL,14,481462.06,490071.92
